datetime,position,value
2014-04-11 16:37:29,ai0,0.022481529381692383
2014-04-11 16:37:29,ai2,0.025441461489587907
2014-04-11 16:37:29,ai3,0.03859671486212919
2014-04-11 16:37:29,ai4,0.03267685093325895
2014-04-11 16:37:29,ai5,0.0011042408466559162
2014-04-11 16:37:29,ai6,4.871508906653981
2014-04-11 16:37:29,ai8,0.17804235785954375
2014-04-11 16:37:29,ai9,0.20303732366580268
2014-04-11 16:37:29,ai10,0.15962501313190783
2014-04-11 16:37:29,ai7,9.093240162955652e-07
2014-04-11 16:37:30,ai0,0.021823766686089038
2014-04-11 16:37:30,ai2,0.022152648034116314
2014-04-11 16:37:30,ai3,0.024125936112807826
2014-04-11 16:37:30,ai4,0.03267685093325895
2014-04-11 16:37:30,ai5,0.0007753594695571567
2014-04-11 16:37:30,ai6,5.067853320611388
2014-04-11 16:37:30,ai8,0.17968676357648775
2014-04-11 16:37:30,ai9,0.20270844255185938
2014-04-11 16:37:30,ai10,0.16126941896347763
2014-04-11 16:37:30,ai7,-4.303149989473238e-07
2014-04-11 16:37:31,ai0,0.022810410728817333
2014-04-11 16:37:31,ai2,0.022481529381692383
2014-04-11 16:37:31,ai3,0.028072512221540703
2014-04-11 16:37:31,ai4,0.028072512221540703
2014-04-11 16:37:31,ai5,0.0001175967139877245
2014-04-11 16:37:31,ai6,4.71364429101054
2014-04-11 16:37:31,ai8,0.1790290012909304
2014-04-11 16:37:31,ai9,0.2043528481175777
2014-04-11 16:37:31,ai10,0.16094053779798756
2014-04-11 16:37:31,ai7,9.093240162955652e-07
2014-04-11 16:37:32,ai0,0.023468173421714256
2014-04-11 16:37:32,ai2,0.024783698802098797
2014-04-11 16:37:32,ai3,0.02609922417527591
2014-04-11 16:37:32,ai4,0.030374681588397356
2014-04-11 16:37:32,ai5,0.0007753594695571567
2014-04-11 16:37:32,ai6,4.2137409622269955
2014-04-11 16:37:32,ai8,0.17278025949688963
2014-04-11 16:37:32,ai9,0.20205068032277268
2014-04-11 16:37:32,ai10,0.15929613196435757
2014-04-11 16:37:32,ai7,-4.449232067047189e-06
2014-04-11 16:37:33,ai0,0.022481529381692383
2014-04-11 16:37:33,ai2,0.023139292075491258
2014-04-11 16:37:33,ai3,0.025770342832657
2014-04-11 16:37:33,ai4,0.025112580146068538
2014-04-11 16:37:33,ai5,0.0011042408466559162
2014-04-11 16:37:33,ai6,4.168026208335011
2014-04-11 16:37:33,ai8,0.1790290012909304
2014-04-11 16:37:33,ai9,0.2043528481175777
2014-04-11 16:37:33,ai10,0.15929613196435757
2014-04-11 16:37:33,ai7,2.395045091399657e-07
2014-04-11 16:37:34,ai0,0.021494885337610455
2014-04-11 16:37:34,ai2,0.02445481745767859
2014-04-11 16:37:34,ai3,0.018206071827982406
2014-04-11 16:37:34,ai4,0.02873027490003172
2014-04-11 16:37:34,ai5,0.0011042408466559162
2014-04-11 16:37:34,ai6,3.8858447904187026
2014-04-11 16:37:34,ai8,0.17574018983872558
2014-04-11 16:37:34,ai9,0.20961494586081145
2014-04-11 16:37:34,ai10,0.16061165663208563
2014-04-11 16:37:34,ai7,9.093240162955652e-07
2014-04-11 16:37:35,ai0,0.019192715885616038
2014-04-11 16:37:35,ai2,0.021494885337610455
2014-04-11 16:37:35,ai3,0.03432125759471145
2014-04-11 16:37:35,ai4,0.02741474954125156
2014-04-11 16:37:35,ai5,0.0007753594695571567
2014-04-11 16:37:35,ai6,3.610899250363083
2014-04-11 16:37:35,ai8,0.18198893156313756
2014-04-11 16:37:35,ai9,0.20073515585979623
2014-04-11 16:37:35,ai10,0.16094053779798756
2014-04-11 16:37:35,ai7,9.093240162955652e-07
2014-04-11 16:37:36,ai0,0.022481529381692383
